date,proponent,senate_bill_no,short_title,long_title,scope,status,subject,primary_committee,secondary_committee,links
"november 15, 2016","['angara, juan edgardo ""sonny"" m.']",1238,speech language pathology act,"an act regulating the practice of speech language pathology in the philippines, providing funds therefor, and for other purposes",National,pending in the committee (11/28/2016),['Speech Pathology'],"['Civil Service, Government Reorganization and Professional Regulation']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1238
"november 14, 2016","['gatchalian, sherwin t.']",1237,mobile number portability act,an act requiring public telecommunications entities to provide nationwide mobile number portability to subscribers,National,consolidated/substituted in the committee report (12/13/2017),"['Mobile Number Portability', 'Cellular Phones/Cell Phones', 'Telecommunications']",['Economic Affairs'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1237
"november 14, 2016","['gatchalian, sherwin t.']",1236,"p2,000 across-the-board increase in the monthly pension under the sss","an act mandating a two thousand peso (p2,000.00) across-the-board increase in the monthly pension with corresponding adjustment of the minimum monthly pension under the social security system, amending for the purpose section 12 of republic act no. 1161 as amended, otherwise known as the social security act of 1997",National,consolidated/substituted in the committee report (3/20/2018),['Social Security System (SSS)'],['Government Corporations and Public Enterprises'],"['Labor, Employment and Human Resources Development']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1236
"november 10, 2016","['aquino iv, paolo benigno ""bam""']",1235,"banning a no permit, no exam policy act","an act prohibiting a 'no permit, no exam' policy or any such policy that prevents students of any educational institution from taking their examinations due to unpaid tuition and other school fees",National,pending in the committee (11/14/2016),"['Tuition Fees', 'Students']","['Education, Arts and Culture']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1235
"november 10, 2016","['aquino iv, paolo benigno ""bam""']",1234,the built cultural heritage act,"an act for the stewardship and conservation of built cultural heritage, and for other purposes",National,pending in the committee (11/14/2016),['Heritage Sites/Cultural Property'],"['Education, Arts and Culture']","['Local Government', 'Ways and Means']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1234
"november 9, 2016","['pangilinan, francis n', ' recto, ralph g', ' villar, cynthia a', ' aquino iv, paolo benigno ""bam"", hontiveros, risa']",1233,coconut farmers and industry development act,"an act creating the coconut farmers and industry trust fund, providing for its management and utilization, and for other purposes",National,passed by both houses (11/28/2018),"['Coconut Industry/Copra and Other Coconut Products', 'Farmers']",['Agriculture and Food'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1233
"november 8, 2016","['sotto iii, vicente c.']",1232,medical scholarship act of 2016,an act providing medical scholarships in state universities and colleges to qualified students and for other purposes,National,pending in the committee (11/9/2016),['Scholarship Grants'],['Health and Demography'],"['Education, Arts and Culture', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1232
"november 7, 2016","['poe, grace l.']",1231,road safety and comprehensive driver's education act of 2016,an act integrating basic road safety and comprehensive driver’s education in the curriculum of the enhanced basic education (k to 12) program,National,pending in the committee (11/8/2016),"['Road Safety', 'Driver Education Act', 'K12 Education Program']","['Education, Arts and Culture']","['Public Services', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1231
"november 7, 2016","['de lima, leila m.']",1230,commission on human rights act of 2016,"an act strengthening the commission on human rights of the philippines as the national human rights institution, and for other purposes",National,pending in the committee (11/8/2016),['Commission on Human Rights'],['Justice and Human Rights'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1230
"october 27, 2016","['poe, grace l.']",1229,burial assistance act of 2016,"an act providing burial assistance for unclaimed remains and for indigent decedents, appropriating funds therefor, and for other purposes",National,pending in the committee (11/7/2016),"['Indigent Persons', 'Burial Assistance']","['Social Justice, Welfare and Rural Development']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1229
"october 27, 2016","['poe, grace l.']",1228,amending sec. 95 (b) of pd no. 856 (code on sanitation of the philippines),an act amending section 95 (b) of presidential decree no. 856 or the code on sanitation of the philippines,National,pending in the committee (11/7/2016),['Sanitation'],['Health and Demography'],"['Justice and Human Rights', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1228
"october 27, 2016","['de lima, leila m.']",1227,new criminal code of the philippines,"an act to ordain and institute a new criminal code of the philippines, repealing for that purpose act no. 3815, otherwise known as the revised penal code, and other related laws, and for other purposes",National,pending in the committee (11/7/2016),['Criminal Code of the Philippines'],['Constitutional Amendments and Revision of Codes'],['Justice and Human Rights'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1227
"october 25, 2016","['gatchalian, sherwin t.']",1226,student privilege act of 2016,an act granting privileges to students at all levels in public and private schools,National,consolidated/substituted in the committee report (10/3/2017),['Students'],"['Education, Arts and Culture']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1226
"october 25, 2016","['gatchalian, sherwin t.']",1225,amending ra no. 9165 (comprehensive dangerous drugs act of 2002),"an act penalizing lessors of properties used as laboratories and drug warehouses, amending for the purpose section 8 of republic act no. 9165 otherwise known as the comprehensive dangerous drug act of 2002",National,pending in the committee (11/7/2016),"['Comprehensive Dangerous Drugs Act of 2002, Amendments']",['Public Order and Dangerous Drugs'],['Justice and Human Rights'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1225
"october 25, 2016","['ejercito, joseph victor g', ' villanueva, joel']",1224,extending the validity of driver's license to 5 years,"an act extending the validity of driver’s license and compulsory registration of motor vehicles, amending for the purpose republic act no. 4136 also known as an act to compile the laws relative to land transportation and traffic rules, to create a land transportation commission and for other purposes, as amended by batas pambansa bilang 398",National,consolidated/substituted in the committee report (5/15/2017),"['Land Transportation and Traffic Code (R.A.No. 4136)', 'Drivers License']",['Public Services'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1224
"october 25, 2016","['villanueva, joel']",1223,amending p.d 972 (coal mining development act of 1976,an act amending pd 972 (as amended by pd 1174) also known as the coal mining development act of 1976,National,pending in the committee (11/7/2016),['Coal'],['Environment and Natural Resources'],['Ways and Means'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1223
"october 25, 2016","['villanueva, joel']",1222,lowering optional retirement age of public school teachers from 60  to 55 years old,"an act lowering the optional retirement age of public school teachers from sixty (60) years old to fifty-five (55) years old, amending for the purpose section 13-a of republic act 8291, otherwise known as the government service insurance system act of 1997",National,pending in the committee (11/7/2016),"['Retirement Age', 'Teachers', 'Government Service Insurance System (GSIS)']",['Government Corporations and Public Enterprises'],"['Civil Service, Government Reorganization and Professional Regulation']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1222
"october 25, 2016","['villanueva, joel']",1221,"amending art. 278, 279 and 287 of p.d. 442 (labor code of the philippines)","an act rationalizing government interventions in labor disputes by adopting the essential services criteria in the exercise of the assumption or certification power of the secretary of labor and employment, and decriminalizing violations thereof, amending for this purpose articles 278[263], 279[264] and 287[272] of presidential decree 442, otherwise known as the labor code of the philippines, as amended and for other purposes",National,pending in the committee (11/7/2016),"['Labor Code of the Philippines (P.D.No. 442)', 'Strikes/Picketing/Lockouts']","['Labor, Employment and Human Resources Development']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1221
"october 24, 2016","['angara, juan edgardo ""sonny"" m', ' legarda, loren b.']",1220,free higher education for all act,"an act providing for a full tuition fee subsidy, including miscellaneous expenses, for students enrolled in state universities and colleges (sucs), and appropriating funds thereof",National,consolidated/substituted in the committee report (1/23/2017),"['Tuition Fees', 'Students', 'Free Tertiary Education']","['Education, Arts and Culture']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1220
"october 20, 2016","['ejercito, joseph victor g.']",1219,sim card registration act,an act requiring the registration of subscriber identity module (sim) cards in mobile phones,National,pending in the committee (11/7/2016),"['Sim Card Registration', 'Cellular Phones/Cell Phones']",['Public Services'],"['Trade, Commerce and Entrepreneurship']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1219
"october 19, 2016","['zubiri, juan miguel f.']",1218,converting the maraymaray barangay road,"an act converting the maraymaray barangay road in the municipality of don carlos, province of bukidnon into a national road, and appropriating funds therefor",Local,pending in the committee (11/7/2016),"['Roads, Conversion']",['Rules'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1218
"october 19, 2016","['poe, grace l.']",1217,water regulatory act of 2016,"an act rationalizing the economic regulation of water utilities, creating the water regulatory commission and for other purposes",National,pending in the committee (11/7/2016),['Water Regulation'],['Public Services'],"['Civil Service, Government Reorganization and Professional Regulation', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1217
"october 19, 2016","['poe, grace l.']",1216,"on-site, in-city or near city resettlement act of 2016","an act establishing an on-site, in-city or near-city resettlement program for informal settler families in accordance with a people’s plan and mandating local government units to provide other basic services and livelihood components in resettlement sites, amending for the purpose republic act no. 7279, as amended, otherwise known as the urban development and housing act of 1992",National,consolidated/substituted in the committee report (3/15/2017),"['Resettlement Program', 'Urban Development and Housing Act (R.A.No. 7279)', 'Local Government Units (LGUS)', 'Squatters/Squatting/Informal Settlers']","['Urban Planning, Housing and Resettlement']",['Local Government'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1216
"october 19, 2016","['poe, grace l.']",1215,philippine hiv and aids policy act of 2016,"an act strengthening the philippine comprehensive policy on human immunodeficiency virus (hiv) and acquired immune deficiency syndrome (aids) prevention, treatment, care and support, and establishing the philippine national hiv and aids plan, repealing for the purpose republic act no. 8504, otherwise known as the ‘philippine aids prevention and control act of 1998’, and appropriating funds therefor",National,consolidated/substituted in the committee report (3/14/2017),"['Human Immuno Deficiency Virus (HIV)', 'Acquired Immune Deficiency Syndrome (AIDS)']",['Health and Demography'],"['Education, Arts and Culture', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1215
"october 19, 2016","['binay, maria lourdes nancy s.']",1214,northwest panay peninsula natural park (nppnp) act,"an act declaring the northwest panay peninsula located in the municipalities of nabas, malay and buruanga, province of aklan, and in the municipalities of libertad and pandan, province of antique as a protected area under the category of natural park, providing for its management and for other purposes",National,consolidated/substituted in the committee report (5/10/2017),"['Parks', 'Protected Area/Protected Landscape']",['Environment and Natural Resources'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1214
"october 19, 2016","['zubiri, juan miguel f.']",1213,charter of the davao international airport authority,an act creating the davao international airport authority to administer and operate the francisco bangoy international airport and appropriating funds therefor,National,consolidated/substituted in the committee report (1/22/2019),['Airport'],['Government Corporations and Public Enterprises'],"['Public Services', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1213
"october 19, 2016","['aquino iv, paolo benigno ""bam""']",1212,philippine investment fund corporation act,"an act establishing a philippine sovereign wealth fund providing for the management, investment, and use of proceeds of its assets, appropriating funds therefor and for other purposes",National,pending in the committee (11/7/2016),['Investments'],['Economic Affairs'],"['Government Corporations and Public Enterprises', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1212
"october 18, 2016","['aquino iv, paolo benigno ""bam""']",1211,philippine space act,"an act establishing the philippine space development and utilization policy and creating the philippine space agency, and for other purposes",National,consolidated/substituted in the committee report (9/10/2018),['Philippine Space Agency (Philsa)'],['Science and Technology'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1211
"october 18, 2016","['honasan ii, gregorio b', ' lacson, panfilo m', ' poe, grace l', ' angara, juan edgardo ""sonny"" m', ' sotto iii, vicente c.']",1210,expanded anti-wire tapping act of 2016,"an act expanding the scope and coverage of republic act no. 4200, otherwise known as an act to prohibit and penalize wire tapping and other related violations of the privacy of communication, and for other purposes",National,"pending second reading, special order (10/19/2016)",['Wiretapping'],['Public Order and Dangerous Drugs'],['National Defense and Security'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1210
"october 18, 2016","['binay, maria lourdes nancy s.']",1209,paternity leave act of 1996,"an act amending section 2 of republic act no. 8187, otherwise known as the paternity leave act of 1996, and for other purposes",National,pending in the committee (10/19/2016),"['Paternity Leave', 'Leave of Absence']","['Labor, Employment and Human Resources Development']","['Civil Service, Government Reorganization and Professional Regulation']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1209
"october 18, 2016","['honasan ii, gregorio b', ' pangilinan, francis n', ' cayetano, alan peter companero s', ' escudero, francis ""chiz"" g', ' trillanes, antonio ""sonny"" f', ' ejercito, joseph victor g', ' poe, grace l', ' de lima, leila m', ' legarda, loren b', ' zubiri, juan miguel f', ' angara, juan edgardo ""sonny"" m', ' aquino iv, paolo benigno ""bam"", villanueva, joel, hontiveros, risa']",1208,people's freedom of information act of 2016,an act implementing the people's right to information and the constitutional policies of full public disclosure and honesty in the public service and for other purposes,National,"pending second reading, special order (10/19/2016)","['Information', 'Government Agencies']",['Public Information and Mass Media'],"['Civil Service, Government Reorganization and Professional Regulation', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1208
"october 18, 2016","['sotto iii, vicente c.']",1207,exception to the imposition of preventive suspension against public officers,"an act amending section 13 of the republic act no. 3019, as amended, entitled the anti-graft and corrupt practices act",National,pending in the committee (10/19/2016),"['Anti-Graft and Corrupt Practices Act', 'Preventive Suspension']",['Justice and Human Rights'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1207
"october 17, 2016","['villar, cynthia a.']",1206,banana industry development act of 2016,an act creating the banana industry development council and providing funds thereof and for other purposes,National,pending in the committee (10/18/2016),['Banana'],['Agriculture and Food'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1206
