,dates,titles,descriptions,proponents,links
68,2018-12-11 00:00:00,SBN-2133: Freeport Area of Bataan (FAB) Act,,"['gordon, richard j', ' gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2133
69,2018-12-10 00:00:00,SBN-2132: Consolidated Poverty Data Collection (CPDC) System Act,an act establishing a consolidated poverty data collection system and appropriating funds therefor,"['zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2132
70,2018-12-10 00:00:00,SBN-2131: Don Carlos Polytechnic College,an act converting the don carlos polytechnic college into a state college to be known as don carlos polytechnic state college,"['zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2131
71,2018-12-10 00:00:00,SBN-2130: Prison Reform Act of 2018,an act institutionalizing prison reform and restorative justice in philippine correctional system and for other purposes,"['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2130
72,2018-12-10 00:00:00,"SBN-2129: Abc Development Corporation, Presently Known as Tv5 Network, Inc.",,"['recto, ralph g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2129
73,2018-12-05 00:00:00,SBN-2128: Philippine Coast Guard General Hospital Act,,"['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2128
74,2018-12-04 00:00:00,"SBN-2127: Sale of Gold by Small-Scale Miners, Amending Sec. 32 and 151 of Nirc","an act to strengthen the country's gross international reserves (gir), amending for the purpose sections 32 and 151 of the national internal revenue code, as amended, and for other purposes","['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2127
75,2018-12-03 00:00:00,SBN-2126: Imported Produce Labeling Act,an act requiring the labelling and indication of perishable agricultural commodities imported into the philippines with their country of origin and establishing penalties for violations thereof,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2126
76,2018-12-03 00:00:00,SBN-2125: Healthy Food Choices for Kids Act,an act establishing a labeling and nutritional awareness program that requires schools to post nutritional content information regarding food served in their canteens,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2125
77,2018-12-03 00:00:00,SBN-2124: Amending P.D. No. 1341 (Charter of the Polytechnic University of the Philippines),"an act amending presidential decree number 1341, otherwise known as the charter of the polytechnic university of the philippines","['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2124
78,2018-12-03 00:00:00,SBN-2123: Reducing the Cost of Doing Business in Local Government Units,"an act to reduce the cost of doing business in local government units by amending certain provisions in book i i of republic act 7160, otherwise known as the local government code of 1991","['angara, juan edgardo ""sonny"" m', ' pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2123
79,2018-12-03 00:00:00,SBN-2122: Rationalizing Credit Financing for Local Government Units,"an act to rationalize credit financing for local government units by amending certain provisions in book i i of republic act 7160, otherwise known as the local government code of 1991","['angara, juan edgardo ""sonny"" m', ' escudero, francis ""chiz"" g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2122
80,2018-12-03 00:00:00,SBN-2121: Magna Carta of the Poor,an act providing for a magna carta of the poor,"['legarda, loren b', ' trillanes, antonio ""sonny"" f', ' aquino iv, paolo benigno ""bam"", angara, juan edgardo ""sonny"" m', ' de lima, leila m', ' ejercito, joseph victor g', ' zubiri, juan miguel f', ' villanueva, joel']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2121
81,2018-11-29 00:00:00,SBN-2120: National Economic and Development Authority Act of 2018,,"['gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2120
82,2018-11-29 00:00:00,SBN-2119: Rural Employment Assistance Program Act,an act providing for a rural employment assistance program and appropriating funds therefor,"['aquino iv, paolo benigno ""bam"", angara, juan edgardo ""sonny"" m', ' villanueva, joel, sotto iii, vicente c', ' de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2119
83,2018-11-29 00:00:00,SBN-2118: Magna Carta for Child Development Workers,an act instituting the magna carta for child development workers and providing funds therefor,"['villar, cynthia a', ' ejercito, joseph victor g', ' de lima, leila m', ' binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2118
84,2018-11-29 00:00:00,SBN-2117: Pantawid Pamilyang Pilipino Program (4PS) Act,an act institutionalizing the pantawid pamilyang pilipino program (4ps),"['drilon, franklin m', ' legarda, loren b', ' recto, ralph g', ' villanueva, joel, angara, juan edgardo ""sonny"" m', ' aquino iv, paolo benigno ""bam"", hontiveros, risa, de lima, leila m', ' ejercito, joseph victor g', ' gatchalian, sherwin t', ' villar, cynthia a', ' binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2117
85,2018-11-29 00:00:00,SBN-2116: Repealing R. A. No.10912 (Continuing Professional Development Act of 2016),"an act repealing republic act no. 10912, otherwise known as the ‘continuing professional development act of 2016’","['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2116
86,2018-11-28 00:00:00,SBN-2115: Occidental Mindoro Special Economic Zone Zone Act of 2018,"an act establishing a special economic zone and free port in the municipalities of san jose and magsaysay in the province of occidental mindoro, providing funds therefor, and for other purposes","['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2115
87,2018-11-28 00:00:00,SBN-2114: Mandatory Provision of Left-Handed Armchairs in Educational Institutions Act,an act mandating public and private educational institutions to provide the appropriate armchairs to left-handed students,"['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2114
88,2018-11-28 00:00:00,SBN-2113: Philippine Defense Industry Development Act of 2018 (Pdida),,"['zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2113
